"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_sabe_ler"	"cod_freq_escola"	"cod_curso_freq"	"cod_dur_primeiro_grau_eh"	"cod_serie_freq"	"cod_nivel_instr"	"cod_dur_primeiro_grau_era"	"cod_serie_com_aprovacao"	"cod_concluiu_curso"	"cod_tem_cartao"	"cod_ehtitular_cartao"	"cod_tem_cheque"	"cod_ehtitular_conta"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_tem_plano"	"cod_ehtitular"	"cod_num_dependente"	"cod_leite_materno"	"meses_leite_materno"
"51"	3	53	4	2	2	1	3	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	170.13	288.2	458.33	0	0	0	0	0
"52"	3	53	4	2	5	1	1	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	356.8	247.12	603.92	0	0	0	0	0
"53"	3	53	4	2	5	1	2	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	356.8	247.12	603.92	0	0	0	0	0
"54"	3	53	4	2	5	1	3	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	356.8	247.12	603.92	0	0	0	0	0
"55"	3	53	4	2	5	1	4	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	356.8	247.12	603.92	0	0	0	0	0
"56"	3	53	4	2	5	1	5	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	356.8	247.12	603.92	0	0	0	0	0
"57"	3	53	4	2	7	1	1	1	1030.08969936	1276.28385915	0	0	0	0	0	0	0	0	0	0	0	0	0	416	204	620	0	0	0	0	0
"58"	3	53	4	2	7	1	2	1	1030.08969936	1276.28385915	0	1	1	0	1	0	0	0	0	0	0	0	0	416	204	620	1	0	0	0	0
"59"	3	53	4	2	7	1	3	1	1030.08969936	1276.28385915	0	0	0	1	0	0	0	0	0	0	0	0	0	416	204	620	0	0	0	0	0
"60"	3	53	4	2	7	1	4	1	1030.08969936	1276.28385915	0	0	0	1	0	0	0	0	0	0	0	0	0	416	204	620	0	0	0	0	0
