"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_rel_pess_refe_uc"	"num_familia"	"cod_cond_familia"	"cod_cond_presenca"	"dat_dia_nasc"	"dat_mes_nasc"	"dat_ano_nasc"	"idade_anos"	"idade_mes"	"idade_dia"	"cod_sexo"	"cod_sabe_ler"	"cod_freq_escola"	"cod_curso_freq"	"cod_dur_primeiro_grau_eh"	"cod_serie_freq"	"cod_nivel_instr"	"cod_dur_primeiro_grau_era"	"cod_serie_com_aprovacao"	"cod_concluiu_curso"	"anos_de_estudo"	"cod_cor_raca"	"cod_sit_receita"	"cod_sit_despesa"	"cod_tem_cartao"	"cod_ehtitular_cartao"	"cod_tem_cheque"	"cod_ehtitular_conta"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_gravida"	"num_comprimento"	"num_altura"	"num_peso"	"num_peso_crianca"	"comprimento_imputado"	"altura_imputado"	"peso_imputado"	"renda_percapita"	"cod_religiao"	"cod_tem_plano"	"cod_ehtitular"	"cod_num_dependente"	"cod_unid_consumo"	"teve_necessidade_medicamento"	"precisou_algum_servico"	"tempo_gestacao"	"cod_amamentando"	"cod_leite_materno"	"cod_outro_alimento"	"meses_leite_materno"	"cod_freq_alimentar"	"cod_alimento_consumido"
"28"	2	53	69	7	4	1	4	5	1127.19468092	1396.59718786	3	1	3	1	19	11	1991	17	205	6249	1	1	2	7	0	1	0	0	0	0	8	4	1	1	2	0	2	0	5939.91	411.9	6351.81	0	0	181.1	83.2	0	0	181.1	83.2	1587.95	240075	2	0	0	3	2	2	-1	-1	-1	-1	-1	-1	-1
"29"	2	53	69	7	8	1	1	5	1127.19468092	1396.59718786	1	1	1	1	3	3	1955	53	646	19667	1	1	3	0	0	0	5	0	1	2	1	1	1	1	1	1	2	0	15722	403.83	16125.83	0	0	165.7	75.9	0	0	165.7	75.9	5375.28	110003	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"30"	2	53	69	7	8	1	2	5	1127.19468092	1396.59718786	2	1	2	1	15	10	1959	49	590	17980	2	1	3	0	0	0	5	0	2	2	2	1	2	1	2	0	2	0	15722	403.83	16125.83	2	0	161.2	65.5	0	0	161.2	65.5	5375.28	110003	2	0	0	2	2	2	-1	2	-1	-1	-1	-1	-1
"31"	2	53	116	2	12	1	3	9	47.25517076	58.54928142	3	1	3	1	28	7	2005	3	41	1273	1	2	3	0	0	0	1	0	10	2	0	4	0	0	0	0	0	0	315	147.7	462.7	0	0	110	15.7	0	0	110	15.7	115.68	10	2	0	0	0	0	0	-1	-1	2	-1	6	-1	-1
"32"	2	53	116	2	12	1	4	9	47.25517076	58.54928142	4	1	4	2	28	2	1992	16	202	6172	1	1	3	0	0	0	8	1	4	2	4	2	2	2	0	0	0	0	315	147.7	462.7	0	0	0	0	0	0	170.3	58.8	115.68	5	2	0	0	2	0	0	-1	-1	-1	-1	-1	-1	-1
"33"	2	53	116	2	13	1	1	9	47.25517076	58.54928142	1	1	1	1	24	5	1972	36	440	13407	1	1	2	13	0	10	0	0	0	0	15	1	1	3	2	0	1	1	783.63	623.03	1406.65	0	0	178.2	63	0	0	178.2	63	1406.65	10	1	2	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"34"	2	53	116	2	14	1	1	9	47.25517076	58.54928142	1	1	1	1	8	10	1948	60	723	22027	1	2	3	0	0	0	5	0	1	2	1	4	1	1	1	1	2	0	454.43	180	634.43	0	0	160.1	62.6	0	0	160.1	62.6	634.43	310049	2	0	0	1	2	2	-1	-1	-1	-1	-1	-1	-1
"35"	2	53	116	2	15	1	1	9	47.25517076	58.54928142	1	1	1	1	27	9	1938	70	844	25697	1	2	4	0	0	0	0	0	0	0	0	4	1	3	2	0	2	0	415	209.72	624.72	0	0	158	52.5	0	0	158	52.5	312.36	110003	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"36"	2	53	116	2	15	1	2	9	47.25517076	58.54928142	4	1	4	1	27	11	1992	16	194	5912	1	1	2	5	1	8	0	0	0	0	7	1	2	1	2	0	2	0	415	209.72	624.72	0	0	178.9	67.9	0	0	178.9	67.9	312.36	110003	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"37"	2	53	116	2	2	1	1	9	47.25517076	58.54928142	1	1	1	1	29	12	1969	38	467	14231	1	1	3	0	0	0	10	0	3	1	11	4	1	1	2	0	2	0	1460.54	261.17	1721.7	0	0	166.2	50.7	0	0	166.2	50.7	430.43	310049	2	0	0	2	2	2	-1	-1	-1	-1	-1	-1	-1
"38"	2	53	116	2	2	1	2	9	47.25517076	58.54928142	2	1	2	1	12	12	1967	41	492	14979	2	1	3	0	0	0	8	1	8	1	8	2	1	3	2	0	2	0	1460.54	261.17	1721.7	2	0	999.9	999.9	0	0	168.5	69.8	430.43	310049	2	0	0	2	2	2	-1	2	-1	-1	-1	-1	-1
