"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"perd_cod_p_visit_realm_em"	"qtd_morador_domc"	"qtd_uc"	"qtd_familia"	"cod_tipo_domc"	"cod_material_parede"	"cod_material_cobertura"	"cod_material_piso"	"qtd_comodos_domc"	"qtd_comd_serv_dormit"	"cod_agua_comodo"	"cod_abast_agua"	"qtd_banheiros"	"cod_esgoto_sanit"	"cod_cond_ocup"	"cod_tempo_moradia"	"cod_contrato_docum"	"cod_exist_pavim"	"imput_qtd_comodos"	"imput_qtd_banheiros"	"imput_esgoto"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_servico_distribuicao"	"estrada_grande_1"	"area_1"	"estrada_ferro_1"	"passagem_1"	"gasoduto_1"	"lixao_1"	"esgoto_1"	"rio_1"	"encosta_1"	"lixo_biodegradavel"	"lixo_separado"	"cod_lixo"	"rede_15"	"propria_15"	"diesel_16"	"solar_16"	"eolica_16"	"agua_16"	"biodiesel_16"	"sistema_misto_16"	"outra_fonte_16"	"energia_17"	"gas_17"	"energia_solar_17"	"lenha_17"	"outra_forma_17"	"gas_18"	"lenha_18"	"carvao_18"	"energia_eletrica_18"	"outro_18"
"28"	1	53	6	9	13	1	974.80523604	1207.78626303	52	3	1	1	1	1	2	2	11	3	1	1	3	1	1	0	0	1	0	0	0	5976.48	990	6966.48	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"29"	1	53	6	9	4	1	974.80523604	1207.78626303	44	1	1	1	1	1	1	2	3	1	1	1	1	1	6	2	1	1	0	0	0	3792.67	22.19	3814.86	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"30"	1	53	6	9	7	1	974.80523604	1207.78626303	47	2	1	1	1	1	1	3	6	1	1	1	1	1	1	0	0	1	0	0	0	2550	629.25	3179.25	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"31"	1	53	7	7	1	2	708.30786026	877.59531031	2	3	1	1	1	1	1	2	7	2	1	1	2	1	6	1	1	1	0	0	0	12066.23	0	12066.23	1	1	1	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"32"	1	53	7	7	11	2	708.30786026	877.59531031	11	1	1	1	2	1	2	3	6	2	1	1	2	2	6	1	3	1	0	0	0	3998.24	95.64	4093.87	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"33"	1	53	7	7	2	2	708.30786026	877.59531031	2	6	1	1	1	1	1	2	8	4	1	1	1	1	1	0	0	1	0	0	0	1801	783.32	2584.32	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"34"	1	53	7	7	3	2	708.30786026	877.59531031	4	4	1	1	1	1	1	2	10	3	1	1	3	1	1	0	0	1	0	0	0	18531.83	1236	19767.83	1	2	2	2	2	2	2	2	2	2	1	2	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"35"	1	53	7	7	6	2	708.30786026	877.59531031	6	4	1	1	1	1	1	2	11	4	1	1	2	1	2	0	0	1	0	0	0	16671.08	739.54	17410.62	1	2	2	2	1	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"36"	1	53	7	7	9	2	708.30786026	877.59531031	10	3	1	1	2	1	2	2	6	2	1	1	2	1	6	3	2	1	0	0	0	2964.52	11	2975.52	1	2	2	2	2	2	2	2	2	2	2	0	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"37"	1	53	8	5	10	2	806.17718447	998.85566158	23	2	1	1	1	1	2	4	4	1	1	1	1	1	6	1	3	1	0	0	0	797.25	31.33	828.58	1	1	2	2	2	2	2	2	2	2	1	2	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"38"	1	53	8	5	12	2	806.17718447	998.85566158	26	4	1	2	1	1	1	2	8	3	1	1	2	1	1	0	0	1	0	0	0	3523.67	1530	5053.67	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"39"	1	53	8	5	13	2	806.17718447	998.85566158	27	4	1	1	1	1	1	2	8	3	1	1	2	1	1	0	0	1	0	0	0	11294.07	1052.59	12346.65	1	2	2	2	2	2	2	2	2	2	1	1	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"40"	1	53	8	5	2	2	806.17718447	998.85566158	15	2	1	1	1	1	2	2	6	2	1	1	1	1	1	0	0	1	0	0	0	2379.2	1285.2	3664.4	1	1	1	1	1	2	2	2	1	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"41"	1	53	8	5	3	2	806.17718447	998.85566158	17	3	1	1	1	1	2	2	12	4	1	1	6	1	1	0	0	1	0	0	0	7887.54	2550	10437.54	1	1	1	1	1	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"42"	1	53	8	5	7	2	806.17718447	998.85566158	20	3	1	1	1	1	1	2	6	3	1	1	1	1	6	2	2	1	0	0	0	902.63	0	902.63	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"43"	1	53	8	5	8	2	806.17718447	998.85566158	22	4	1	1	1	1	1	3	8	2	1	1	2	1	1	0	0	1	0	0	0	4278.75	886.88	5165.63	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"44"	1	53	8	5	9	2	806.17718447	998.85566158	26	3	1	1	1	1	1	2	8	3	1	1	3	1	1	0	0	1	0	0	0	8865.56	3.32	8868.88	1	1	2	1	1	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"45"	1	53	9	3	11	2	1096.01433692	1357.96465926	39	5	1	1	1	1	1	2	9	4	1	1	2	1	1	0	0	1	0	0	0	10798.1	883.84	11681.94	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"46"	1	53	9	3	3	2	1096.01433692	1357.96465926	52	1	1	1	2	1	2	2	7	1	1	1	2	1	1	0	0	1	0	0	0	11100	634.21	11734.21	1	1	2	2	2	2	2	2	2	2	1	1	2	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"47"	1	53	9	3	9	2	1096.01433692	1357.96465926	37	4	1	1	1	1	1	2	8	4	1	1	2	1	1	0	0	1	0	0	0	7143.4	2.6	7146	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"48"	1	53	10	7	5	2	2697.14328269	3341.76765348	34	5	1	1	1	1	1	2	8	3	1	1	1	1	1	0	0	1	0	0	0	1932.79	960.06	2892.85	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"49"	1	53	10	7	7	2	2697.14328269	3341.76765348	52	4	1	1	1	1	1	2	9	4	1	1	3	1	1	0	0	1	0	0	0	4390.83	1191	5581.83	1	1	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"50"	1	53	10	7	9	2	2697.14328269	3341.76765348	37	6	1	1	1	1	1	2	6	4	1	1	1	1	1	0	0	1	0	0	0	5673.78	955.89	6629.66	1	1	1	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
"51"	1	53	11	5	10	2	789.76507937	978.52102	46	2	1	1	1	1	1	4	5	2	1	1	1	3	3	0	0	1	0	0	0	465	251.25	716.25	1	2	2	2	2	2	2	2	2	2	2	0	1	1	2	0	0	0	0	0	0	0	1	2	2	2	2	1	2	2	2	2
