"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"	"quantidade_final"	"cod_imput_quant"	"cod_local_compra"
"64"	6	53	4	2	9	1	1	1030.08969936	1276.28385915	6	201	0	90	12	1	90	1378386.57	0	2496.27	400.19	2896.46	9999	0	0	326	1	0
"65"	6	53	4	2	9	1	1	1030.08969936	1276.28385915	6	401	0	22.51	12	1	22.51	344749.8	0	2496.27	400.19	2896.46	0	0	0	0	0	0
"66"	6	53	4	2	9	1	1	1030.08969936	1276.28385915	7	101	1	99	4	0.99	98.01	500354.32	0	2496.27	400.19	2896.46	3	9201	36101	39	0	2006
"67"	6	53	5	0	11	1	1	947.38889615	1173.81734545	8	208	1	70	4	0.99	69.3	325382.17	0	1162.22	25.08	1187.3	0	0	0	0	0	2101
"68"	6	53	5	0	11	1	1	947.38889615	1173.81734545	6	201	0	102	12	1	102	1436752.43	0	1162.22	25.08	1187.3	9999	0	0	327	1	0
"69"	6	53	5	0	11	1	1	947.38889615	1173.81734545	7	101	1	64	4	0.99	63.36	297492.27	0	1162.22	25.08	1187.3	2	9201	36102	26	0	2006
"70"	6	53	5	0	12	1	1	947.38889615	1173.81734545	9	4401	1	130	4	1.01	131.3	616488.87	0	2096.5	0	2096.5	0	0	0	0	0	6605
"71"	6	53	5	0	12	1	1	947.38889615	1173.81734545	6	401	0	50	12	1	50	704290.41	0	2096.5	0	2096.5	0	0	0	0	0	0
"72"	6	53	5	0	12	1	1	947.38889615	1173.81734545	7	101	1	78	4	0.99	77.22	362568.7	0	2096.5	0	2096.5	2	9201	36101	26	0	2006
"73"	6	53	5	0	12	1	1	947.38889615	1173.81734545	8	801	1	180	4	1.01	181.8	853599.97	0	2096.5	0	2096.5	0	0	0	0	0	2101
"74"	6	53	5	0	12	1	1	947.38889615	1173.81734545	6	201	0	50	12	1	50	704290.41	0	2096.5	0	2096.5	9999	0	0	152	1	0
"75"	6	53	5	0	13	1	1	947.38889615	1173.81734545	9	11601	1	30	4	0.98	29.4	138040.92	0	6910	1171.9	8081.9	0	0	0	0	0	7501
"76"	6	53	5	0	13	1	1	947.38889615	1173.81734545	6	201	0	250	12	1	250	3521452.04	0	6910	1171.9	8081.9	9999	0	0	496	1	0
"77"	6	53	5	0	13	1	1	947.38889615	1173.81734545	6	401	0	82	12	1	82	1155036.27	0	6910	1171.9	8081.9	0	0	0	0	0	0
"78"	6	53	5	0	13	1	1	947.38889615	1173.81734545	6	101	0	47	12	1	47	662032.98	0	6910	1171.9	8081.9	9999	0	0	18	1	0
"79"	6	53	5	0	13	1	1	947.38889615	1173.81734545	7	101	1	114	4	1	114	535260.71	0	6910	1171.9	8081.9	3	9201	36102	39	0	2006
"80"	6	53	5	0	14	1	1	947.38889615	1173.81734545	7	101	1	64	4	1	64	300497.24	3	1500	0	1500	2	9202	36104	26	1	7509
"81"	6	53	5	0	14	1	1	947.38889615	1173.81734545	6	101	0	5.1	12	1	5.1	71837.62	3	1500	0	1500	5	0	0	5	0	0
"82"	6	53	5	0	4	1	1	947.38889615	1173.81734545	7	101	1	74	4	0.99	73.26	343975.43	0	4390	1076.27	5466.27	2	9203	36102	26	0	2006
"83"	6	53	5	0	4	1	1	947.38889615	1173.81734545	9	3601	1	180	4	0.96	172.8	811342.55	0	4390	1076.27	5466.27	0	0	0	0	0	6605
"84"	6	53	5	0	4	1	1	947.38889615	1173.81734545	6	401	0	310	12	1	310	4366600.53	0	4390	1076.27	5466.27	0	0	0	0	0	0
"85"	6	53	5	0	4	1	1	947.38889615	1173.81734545	6	201	0	190	12	1	190	2676303.55	0	4390	1076.27	5466.27	9999	0	0	425	1	0
"86"	6	53	5	0	5	1	1	947.38889615	1173.81734545	7	101	1	46	4	0.98	45.08	211662.74	0	868.35	15.75	884.1	3	9201	36102	39	0	2006
"87"	6	53	5	0	8	1	1	947.38889615	1173.81734545	7	101	1	64	4	1	64	300497.24	3	488.83	19.28	508.11	2	9202	36104	26	1	7509
