"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_estado"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"163"	13	53	79	4	6	1	1	5	795.91383522	986.13934475	51	101	1	6000	3	1	0.95	5700	5620994.27	0	5616.67	292.08	5908.75	7501
"164"	13	53	79	4	8	1	1	5	795.91383522	986.13934475	51	101	3	399	3	1	0.93	371.07	365926.73	3	1278.67	178.29	1456.96	8201
"165"	13	53	80	8	7	1	1	5	650.66666667	806.17771915	51	101	3	23776	1	1	0.95	22587.2	18209297.38	0	1200	500	1700	9902
"166"	13	53	80	8	9	1	1	5	650.66666667	806.17771915	51	101	1	4440	3	1	0.95	4218	3400457.62	0	3304.64	373.28	3677.92	9903
"167"	13	53	81	6	2	1	1	5	369.51469583	457.82968444	51	301	1	50	3	1	1.03	51.5	23578.23	0	647	0	647	7502
"168"	13	53	81	6	20	1	1	5	369.51469583	457.82968444	51	301	3	500	1	1	1.03	515	235782.29	0	993.18	586.16	1579.34	1401
"169"	13	53	81	6	3	1	1	5	369.51469583	457.82968444	51	301	2	140	3	1	1.04	145.6	66660	0	600	0	600	7502
"170"	13	53	81	6	7	1	1	5	369.51469583	457.82968444	51	401	3	6800	1	1	0.98	6664	3050977.02	0	1063.13	102	1165.13	9903
"171"	13	53	82	4	7	1	1	6	1810.10142939	2242.72045355	51	101	3	15000	3	1	0.93	13950	31285950.33	0	7449.33	1061.92	8511.25	9902
"172"	13	53	83	2	1	1	2	6	1378.46104651	1707.91687871	51	101	3	22000	1	1	0.93	20460	34943979.34	0	22793.17	1729.37	24522.54	9902
"173"	13	53	83	2	12	1	2	6	1378.46104651	1707.91687871	51	101	1	73000	1	1	0.92	67160	114703697.57	0	58405.08	3889.95	62295.03	9901
"174"	13	53	83	2	8	1	1	6	1378.46104651	1707.91687871	51	101	3	27000	1	1	0.93	25110	42885792.82	2	27665.87	65.65	27731.52	9902
"175"	13	53	83	2	9	1	2	6	1378.46104651	1707.91687871	51	101	3	32000	1	1	0.93	29760	50827606.31	0	31723.3	3868	35591.3	9902
