"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"cod_inss"	"val_inss"	"cod_especie"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"val_inss_corrigido"	"valor_anual_expandido2"	"valor_inss_anual_expandido2"	"cod_imput"	"cod_imput_inss"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"44"	9	53	16	6	5	1	3	1044.89207584	1294.62404271	19	101	1	600	0	999999.99	1	6	12	1	1.07	642	51.36	9973783.63	797902.69	2	1	7199.92	0	7199.92
"45"	9	53	16	6	7	1	3	1044.89207584	1294.62404271	19	101	1	55	50101	999999.99	3	5	12	1	1.08	59.4	4.75	922808.02	73793.57	0	1	13716	717.2	14433.2
"46"	9	53	16	6	7	1	3	1044.89207584	1294.62404271	19	1101	1	480	51101	74.65	1	1	12	1	1.11	532.8	82.86	8277308.28	1287270.58	0	0	13716	717.2	14433.2
"47"	9	53	16	6	8	1	3	1044.89207584	1294.62404271	19	101	1	45	50101	0	3	5	5	1	1.08	48.6	0	314593.64	0	0	0	8886.5	534.39	9420.89
"48"	9	53	17	4	10	1	3	714.62123536	885.41759874	19	401	1	150	50401	0	1	6	11	1	1.07	160.5	0	1563204.77	0	0	0	4313.26	7.83	4321.09
"49"	9	53	18	2	6	1	3	591.89733152	733.36235763	19	1501	1	60	51501	0	3	4	6	1	1.09	65.4	0	287771.39	0	0	0	5909.44	35.75	5945.18
"50"	9	53	20	4	13	1	3	433.06486034	536.56850618	19	1501	1	300	51501	0	3	9	4	1	1.03	309	0	663198.67	0	0	0	3181.94	391.01	3572.94
"51"	9	53	21	2	5	1	3	609.22459893	754.83088773	19	101	1	450	50101	0	1	8	12	1	1.04	468	0	4239130.27	0	0	0	6184.32	357	6541.32
"52"	9	53	22	0	9	1	3	1101.51778656	1364.78344791	19	101	1	415	50101	0	1	8	4	1	1.04	431.6	0	2356162.14	0	0	0	1148.95	0	1148.95
"53"	9	53	22	0	9	1	3	1101.51778656	1364.78344791	19	101	1	300	50101	0	1	9	1	1	1.03	309	0	421718.09	0	0	0	1148.95	0	1148.95
"54"	9	53	23	9	12	1	3	1215.29644269	1505.75550347	19	301	1	200	50301	0	1	10	12	1	1.02	204	0	3686089.47	0	0	0	18953.83	0	18953.83
"55"	9	53	24	7	9	1	3	906.18465909	1122.76518688	19	301	1	50	50301	0	3	9	12	1	1.03	51.5	0	693868.89	0	0	0	629.17	0	629.17
"56"	9	53	28	0	10	1	3	869.61583044	1077.45631155	19	1501	1	60	51501	0	3	1	1	1	1	60	0	64647.38	0	0	0	1008.6	19.28	1027.88
"57"	9	53	30	1	7	1	3	569.90424242	706.11286213	19	301	1	500	50301	0	3	2	11	1	1	500	0	3883620.74	0	0	0	1243	1126.12	2369.12
"58"	9	53	31	0	4	1	3	592.61492979	734.25146377	19	101	1	400	50101	0	3	2	6	1	1	400	0	1762203.51	0	0	0	3161.5	815.5	3977
"59"	9	53	31	0	6	1	3	592.61492979	734.25146377	19	101	1	415	50101	37	1	2	1	1	1	415	37	304714.36	27167.3	0	0	3335.77	0	3335.77
"60"	9	53	32	8	12	1	3	1598.16363636	1980.12896802	19	101	1	160	50101	0	3	3	12	1	0.99	158.4	0	3763829.14	0	0	0	282	761.75	1043.75
"61"	9	53	32	8	20	1	3	1598.16363636	1980.12896802	19	301	1	30	50301	0	3	3	11	1	0.99	29.7	0	646908.13	0	0	0	2516.72	414.23	2930.95
"62"	9	53	32	8	6	1	3	1598.16363636	1980.12896802	19	301	1	65	50301	999999.99	3	2	12	1	1	65	5.2	1544500.6	123560.05	0	1	7371.4	663.72	8035.12
"63"	9	53	33	6	3	1	3	416.7539865	516.35929039	19	301	1	200	50301	0	3	12	1	1	1.01	202	0	104304.58	0	0	0	6183.65	388.73	6572.38
"64"	9	53	34	4	1	1	3	548.30816072	679.35525984	19	301	1	40	50301	0	3	2	12	1	1	40	0	326090.52	0	0	0	6857.5	582.83	7440.33
"65"	9	53	34	4	14	1	3	548.30816072	679.35525984	19	101	1	465	50101	135	1	4	12	1	0.97	451.05	130.95	3677078.28	1067538.86	0	0	6060	458.23	6518.23
"66"	9	53	34	4	5	1	3	548.30816072	679.35525984	19	101	1	200	50101	0	1	2	12	1	1	200	0	1630452.62	0	0	0	3005.5	0	3005.5
"67"	9	53	34	4	7	1	3	548.30816072	679.35525984	19	301	1	30	50301	0	3	1	1	1	1	30	0	20380.66	0	0	0	1125.5	341.08	1466.58
"68"	9	53	35	2	1	1	4	466.92957549	578.52697773	19	1301	1	100	51301	0	3	6	12	1	1.17	117	0	812251.88	0	0	0	3060	0	3060
"69"	9	53	35	2	4	1	4	466.92957549	578.52697773	19	101	1	523	50101	0	1	5	6	1	1.08	564.84	0	1960651.07	0	0	0	12731.17	420.54	13151.71
"70"	9	53	35	2	5	1	4	466.92957549	578.52697773	19	301	1	90	50301	0	3	5	4	1	1.08	97.2	0	224931.29	0	0	0	11406.63	12.12	11418.75
"71"	9	53	35	2	5	1	4	466.92957549	578.52697773	19	1501	1	90	51501	0	3	5	4	1	1.08	97.2	0	224931.29	0	0	0	11406.63	12.12	11418.75
"72"	9	53	35	2	7	1	4	466.92957549	578.52697773	19	301	1	150	50301	0	3	6	6	1	1.07	160.5	0	557121.48	0	0	0	8988.43	571.47	9559.9
