"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_informante"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"cod_cond_vida"	"cod_qtd_ali"	"cod_tip_ali"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"val_rend_min"	"val_rec_min_ali"	"cod_raz_nao_ali"	"cod_cond_serv_agua"	"cod_cond_col_lixo"	"cod_cond_ilu_rua"	"cod_limpeza"	"cod_cond_dren_chuv"	"cod_forn_ener_elet"	"cod_transporte"	"cod_educacao"	"cod_saude"	"cod_lazeresporte"	"cod_esgotamento"	"cod_pouco_espaco"	"cod_viz_barulhe"	"cod_casa_escura"	"cod_telhado_got"	"cod_par_chao_umid"	"cod_made_deteriora"	"cod_pol_tran_indu"	"cod_vio_area_resid"	"cod_inundacoes"	"cod_cond_morada"	"cod_atraso_alug"	"cod_atraso_desp"	"cod_atraso_pres"
"39"	4	53	8	5	7	1	1	2	806.17718447	998.85566158	3	3	2	902.63	0	902.63	3000	1500	1	1	1	1	1	1	1	2	1	1	3	2	1	2	1	2	2	2	2	1	2	1	1	1	2
"40"	4	53	8	5	8	1	3	2	806.17718447	998.85566158	3	3	1	4278.75	886.88	5165.63	6000	600	0	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	2	2	2
"41"	4	53	8	5	9	1	2	2	806.17718447	998.85566158	5	3	1	8865.56	3.32	8868.88	30000	650	0	1	1	1	2	2	1	1	1	1	1	2	2	2	1	1	1	2	2	1	2	1	2	2	2
"42"	4	53	9	3	11	1	4	2	1096.01433692	1357.96465926	4	3	1	10798.1	883.84	11681.94	10000	1000	0	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	3	1	1
"43"	4	53	9	3	3	1	1	2	1096.01433692	1357.96465926	5	3	1	11100	634.21	11734.21	4000	400	0	2	2	1	3	1	1	1	2	2	3	1	2	2	2	2	2	1	1	2	2	2	2	2	2
"44"	4	53	10	7	5	1	1	2	2697.14328269	3341.76765348	1	2	2	1932.79	960.06	2892.85	5000	1500	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	3	1	1
"45"	4	53	10	7	7	1	1	2	2697.14328269	3341.76765348	4	3	1	4390.83	1191	5581.83	4000	1300	0	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
"46"	4	53	10	7	9	1	2	2	2697.14328269	3341.76765348	3	3	1	5673.78	955.89	6629.66	6000	800	0	1	1	1	1	1	1	1	1	1	3	1	2	2	2	1	2	2	2	2	2	1	3	1	1
"47"	4	53	11	5	10	1	1	2	789.76507937	978.52102	4	3	1	465	251.25	716.25	465	0	0	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	1	3	2	2
"48"	4	53	11	5	12	1	1	2	789.76507937	978.52102	6	3	1	14550	1670	16220	0	0	0	1	2	2	1	1	2	1	1	1	1	1	2	1	2	2	1	2	2	2	2	1	3	2	2
"49"	4	53	11	5	14	1	1	2	789.76507937	978.52102	6	3	1	4000	549.76	4549.76	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2
"50"	4	53	11	5	3	1	1	2	789.76507937	978.52102	1	3	1	11357	1931.33	13288.33	20000	2000	0	1	1	1	3	1	1	3	1	1	3	1	2	2	2	1	1	1	1	2	2	1	1	1	1
"51"	4	53	11	5	6	1	1	2	789.76507937	978.52102	3	1	2	5494.12	250	5744.12	4500	750	1	1	1	1	2	2	1	2	2	2	2	1	1	2	2	1	2	1	1	1	2	2	3	3	2
"52"	4	53	12	3	10	1	1	2	547.72313297	678.63040891	5	3	2	460	0	460	3000	400	3	1	1	1	1	2	1	2	1	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	2
"53"	4	53	12	3	11	1	4	2	547.72313297	678.63040891	5	3	1	1369.95	1380.13	2750.07	4000	1000	0	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	1	2	2	1	2	1	2	1	2
"54"	4	53	12	3	13	1	2	2	547.72313297	678.63040891	5	3	1	7138.8	1094.27	8233.07	2500	450	0	1	1	2	2	2	2	2	1	2	1	1	2	2	1	1	1	2	1	1	2	2	2	2	1
"55"	4	53	12	3	14	1	3	2	547.72313297	678.63040891	3	1	1	2948.58	400.13	3348.71	2500	500	0	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2	2	1	2	1	2	1	2
"56"	4	53	12	3	15	1	1	2	547.72313297	678.63040891	5	3	1	2101.18	939.34	3040.52	1500	1000	0	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	2
"57"	4	53	12	3	16	1	1	2	547.72313297	678.63040891	6	3	1	9910.73	1895.49	11806.22	4000	500	0	1	1	1	1	1	1	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2
"58"	4	53	12	3	17	1	1	2	547.72313297	678.63040891	3	3	1	7866.27	2145.12	10011.38	4000	2000	0	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2
"59"	4	53	12	3	18	1	1	2	547.72313297	678.63040891	5	3	1	7929.68	290.78	8220.46	4000	1200	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	1	2	2	1
"60"	4	53	12	3	2	1	1	2	547.72313297	678.63040891	2	3	1	1724.03	1861.28	3585.31	8000	2000	0	1	1	1	1	2	2	3	1	1	1	2	2	2	2	2	2	2	2	1	2	1	3	2	2
"61"	4	53	12	3	20	1	1	2	547.72313297	678.63040891	4	3	1	1200.53	1465.11	2665.64	0	600	0	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	2	2	1	2	2	2
"62"	4	53	12	3	4	1	1	2	547.72313297	678.63040891	2	3	2	1955.75	1395.08	3350.83	2500	800	1	1	1	1	1	1	1	1	2	2	3	1	2	2	1	2	2	2	1	2	2	1	2	2	2
"63"	4	53	12	3	5	1	2	2	547.72313297	678.63040891	3	3	2	1630.9	450	2080.9	2000	600	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2
"64"	4	53	13	1	1	1	1	3	597.61338879	740.44456769	3	3	2	1623.4	832	2455.4	5000	1000	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	2	3	2	2
"65"	4	53	13	1	10	1	1	3	597.61338879	740.44456769	2	2	3	276.92	52.62	329.54	900	500	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2
"66"	4	53	13	1	12	1	1	3	597.61338879	740.44456769	1	2	1	5147.62	0	5147.62	4000	350	0	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1
"67"	4	53	13	1	2	1	1	3	597.61338879	740.44456769	3	2	2	5458.25	653.81	6112.06	3000	500	1	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	3	2	2
"68"	4	53	13	1	3	1	1	3	597.61338879	740.44456769	5	3	1	857.05	0	857.05	2000	250	0	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2
"69"	4	53	13	1	5	1	3	3	597.61338879	740.44456769	5	3	1	23101.05	1547.34	24648.39	6000	300	0	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	1	2	1	3	1	2
"70"	4	53	13	1	6	1	1	3	597.61338879	740.44456769	4	3	2	2852.9	566.5	3419.4	2000	600	1	1	1	1	2	2	1	2	1	2	2	1	2	2	2	2	2	2	1	2	2	1	3	2	2
"71"	4	53	13	1	8	1	1	3	597.61338879	740.44456769	2	2	2	1503.48	435.47	1938.94	3000	1000	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	2	2	2	2	2	2	1	3	1	2
"72"	4	53	13	1	9	1	3	3	597.61338879	740.44456769	1	3	2	1594.99	23.61	1618.6	2500	300	1	1	1	1	2	1	1	1	1	2	2	1	2	1	2	1	1	2	1	1	2	2	1	1	1
"73"	4	53	14	0	1	1	1	3	745	923.05696839	2	3	3	20432.47	681.52	21113.99	10000	2500	3	1	2	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	2	2	2	2	3	2	1
"74"	4	53	14	0	10	1	1	3	745	923.05696839	6	3	1	18624.41	244.34	18868.75	6000	1500	0	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	3	2	2
"75"	4	53	14	0	11	1	2	3	745	923.05696839	3	2	2	1195.13	0	1195.13	800	250	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2	2	1	1	1	1	2	3	1	3	3
"76"	4	53	14	0	12	1	1	3	745	923.05696839	2	2	3	847.05	257.28	1104.34	1500	1000	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2
"77"	4	53	14	0	4	1	2	3	745	923.05696839	5	3	1	3461.08	1588.69	5049.77	1000	400	0	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	2	2	1	2	1	3	2	2
"78"	4	53	14	0	5	1	1	3	745	923.05696839	5	3	1	6110.56	0	6110.56	5000	500	0	1	1	1	1	1	1	2	1	2	2	1	1	2	2	2	2	2	1	1	2	2	2	2	2
"79"	4	53	14	0	8	1	2	3	745	923.05696839	5	3	2	1075.78	1172.05	2247.83	10000	3000	3	1	1	1	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	3	2	2
"80"	4	53	15	8	1	1	1	3	453.29347319	561.63181095	3	2	2	1658.82	371.9	2030.71	7000	1000	3	1	1	1	2	1	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	3	3	1	2
"81"	4	53	15	8	10	1	1	3	453.29347319	561.63181095	3	3	2	764.78	586.33	1351.11	800	500	3	1	1	1	1	2	1	1	2	2	3	2	1	1	2	1	1	2	2	1	2	3	3	2	2
"82"	4	53	15	8	12	1	1	3	453.29347319	561.63181095	1	2	3	745.07	0	745.07	3500	600	1	1	1	1	2	2	1	2	2	2	2	2	1	1	1	1	1	1	2	1	2	3	1	1	2
"83"	4	53	15	8	13	1	1	3	453.29347319	561.63181095	6	3	1	8800.45	560.5	9360.95	2000	600	0	1	1	1	1	1	1	2	1	2	1	1	2	2	2	2	1	2	2	1	2	1	3	2	2
