"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"prod_num_quadro_grupo_pro"	"cod_item"	"cod_obtencao"	"val_despesa"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"metodo_quantkg"	"quant_kg"	"cod_local_compra"	"qtd_item"	"cod_unidade_medida"	"cod_peso_volume"
"86"	11	53	14	0	5	1	3	745	923.05696839	65	80	144	1	1.29	52	1.01	1.3	62398.65	0	6110.56	0	6110.56	6	0.316	201	1.3	4504	0
"87"	11	53	14	0	5	1	3	745	923.05696839	65	65	2601	1	1.96	52	1.1	2.16	103677.76	0	6110.56	0	6110.56	0	0.2	201	0.01	1301	6901
"88"	11	53	14	0	8	1	3	745	923.05696839	67	80	105	1	2.4	52	1	2.4	115197.51	0	1075.78	1172.05	2247.83	1	0.583	301	0.04	1903	0
"89"	11	53	14	0	8	1	3	745	923.05696839	65	82	103	1	7	52	1.04	7.28	349432.45	0	1075.78	1172.05	2247.83	0	4	301	0.02	901	13504
"90"	11	53	14	0	8	1	3	745	923.05696839	65	80	1901	1	2.5	52	1	2.5	119997.41	0	1075.78	1172.05	2247.83	1	0.296	301	0.01	1301	0
"91"	11	53	14	0	8	1	3	745	923.05696839	68	80	501	1	2.9	52	1.02	2.96	142076.93	0	1075.78	1172.05	2247.83	1	0.548	301	0.01	1301	0
"92"	11	53	14	0	8	1	3	745	923.05696839	69	80	105	1	1.2	52	1	1.2	57598.75	0	1075.78	1172.05	2247.83	1	0.291	301	0.04	1903	0
"93"	11	53	14	0	8	1	3	745	923.05696839	68	80	3902	1	3	52	1.01	3.03	145436.86	0	1075.78	1172.05	2247.83	1	0.317	301	0.12	1903	0
"94"	11	53	14	0	8	1	3	745	923.05696839	67	80	3902	1	3	52	1.01	3.03	145436.86	0	1075.78	1172.05	2247.83	1	0.317	301	0.12	1903	0
"95"	11	53	14	0	8	1	3	745	923.05696839	66	80	105	1	1.2	52	1	1.2	57598.75	0	1075.78	1172.05	2247.83	1	0.291	301	0.04	1903	0
"96"	11	53	14	0	8	1	3	745	923.05696839	64	82	103	1	7	52	1.04	7.28	349432.45	0	1075.78	1172.05	2247.83	0	4	301	0.02	901	13504
"97"	11	53	14	0	8	1	3	745	923.05696839	64	80	1901	1	2.5	52	1	2.5	119997.41	0	1075.78	1172.05	2247.83	1	0.296	301	0.01	1301	0
"98"	11	53	14	0	8	1	3	745	923.05696839	63	80	3902	1	3	52	1.01	3.03	145436.86	0	1075.78	1172.05	2247.83	1	0.317	301	0.12	1903	0
"99"	11	53	14	0	8	1	3	745	923.05696839	63	80	501	1	2.9	52	1.02	2.96	142076.93	0	1075.78	1172.05	2247.83	0	0.9	301	0.01	1301	1902
"100"	11	53	15	8	1	1	3	453.29347319	561.63181095	69	84	101	5	7.19	52	1.03	7.41	216407.97	0	1658.82	371.9	2030.71	0	0.5	101	0.01	1001	15301
"101"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	79	1203	5	4.74	52	0.95	4.5	131421.84	0	1658.82	371.9	2030.71	0	1.5	201	0.06	402	16301
"102"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	79	108	5	2.58	52	0.97	2.5	73012.14	0	1658.82	371.9	2030.71	0	2	201	0.02	3104	13902
"103"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	68	3221	5	3.89	52	1.03	4.01	117111.47	0	1658.82	371.9	2030.71	0	1.96	201	0.02	4808	0
"104"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	85	1503	5	3.78	52	1.04	3.93	114775.08	0	1658.82	371.9	2030.71	0	1	201	0.02	1305	3401
"105"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	68	201	5	1.91	52	1.29	2.46	71843.94	0	1658.82	371.9	2030.71	0	1.28	201	0.01	4808	0
"106"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	80	237	5	1.99	52	1.09	2.17	63374.53	0	1658.82	371.9	2030.71	0	1	201	0.01	1301	1702
"107"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	80	2308	5	4.78	52	1.01	4.83	141059.45	0	1658.82	371.9	2030.71	0	0.8	201	0.02	1305	4301
"108"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	80	2207	5	7.35	52	1.01	7.42	216700.02	0	1658.82	371.9	2030.71	0	1.2	201	0.03	1305	4301
"109"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	79	101	5	1.59	52	0.97	1.54	44975.48	0	1658.82	371.9	2030.71	0	1	201	0.01	201	13902
"110"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	79	901	5	5.67	52	1.03	5.84	170556.35	0	1658.82	371.9	2030.71	0	1.185	201	0.03	1004	4401
"111"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	69	101	5	1.7	52	1.11	1.89	55197.17	0	1658.82	371.9	2030.71	0	2	201	0.02	1305	1702
"112"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	70	4702	5	1.49	52	1.06	1.58	46143.67	0	1658.82	371.9	2030.71	0	0.25	201	0.01	202	6101
"113"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	83	101	5	5.25	52	1.08	5.67	165591.52	0	1658.82	371.9	2030.71	0	1.75	201	0.05	1004	15701
"114"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	70	601	5	2.15	52	1.03	2.21	64542.73	0	1658.82	371.9	2030.71	0	0.1	201	0.01	1002	9201
"115"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	84	101	5	6.98	52	1.03	7.19	209982.9	0	1658.82	371.9	2030.71	0	0.5	201	0.01	1001	15301
"116"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	82	302	5	4.78	52	1.04	4.97	145148.13	0	1658.82	371.9	2030.71	0	4	201	0.02	904	13502
"117"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	82	201	5	2.59	52	1.04	2.69	78561.06	0	1658.82	371.9	2030.71	0	2	201	0.01	904	13502
"118"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	65	3301	5	5.17	52	0.99	5.12	149528.85	0	1658.82	371.9	2030.71	0	1.5	201	0.03	1305	3401
"119"	11	53	15	8	1	1	3	453.29347319	561.63181095	63	80	801	1	1.5	52	1.05	1.58	46143.67	0	1658.82	371.9	2030.71	0	0.3	301	3	4504	0
"120"	11	53	15	8	1	1	3	453.29347319	561.63181095	63	80	2601	1	2.35	52	1.03	2.42	70675.75	0	1658.82	371.9	2030.71	0	0.394	301	3.94	4504	0
"121"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	69	704	5	3.59	52	1.01	3.63	106013.62	0	1658.82	371.9	2030.71	0	1	201	0.01	2001	1702
"122"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	71	1001	5	9.92	52	1.11	11.01	321545.44	0	1658.82	371.9	2030.71	0	1.116	201	11.16	4504	0
"123"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	69	6401	5	12.24	52	1.09	13.34	389592.75	0	1658.82	371.9	2030.71	1	2.152	201	0.16	1903	0
"124"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	63	705	5	1.09	52	1.03	1.12	32709.44	0	1658.82	371.9	2030.71	0	0.5	201	0.01	3101	3401
"125"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	80	4801	5	1.29	52	1.01	1.3	37966.31	0	1658.82	371.9	2030.71	0	0.18	201	0.01	1301	7301
"126"	11	53	15	8	1	1	3	453.29347319	561.63181095	66	89	105	5	12.6	52	1	12.6	367981.16	0	1658.82	371.9	2030.71	-2	0	201	0	0	0
