"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"cod_obtencao"	"val_despesa"	"mes"	"qtd_meses"	"fator_anual"	"num_deflator"	"val_despesa_corrigido"	"valor_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"cod_local_compra"
"65"	7	53	11	5	14	1	2	789.76507937	978.52102	11	501	1	999999.99	0	0	1	1.02	1107.24	1083457.61	4	4000	549.76	4549.76	5908
"66"	7	53	11	5	14	1	2	789.76507937	978.52102	11	601	1	999999.99	0	0	1	1.02	482.02	471666.7	4	4000	549.76	4549.76	5908
"67"	7	53	11	5	14	1	2	789.76507937	978.52102	10	501	1	999999.99	3	12	1	0.99	266.24	3126257.24	1	4000	549.76	4549.76	8303
"68"	7	53	11	5	14	1	2	789.76507937	978.52102	11	2201	1	999999.99	0	0	1	1.02	450.74	441058.56	4	4000	549.76	4549.76	5908
"69"	7	53	11	5	3	1	2	789.76507937	978.52102	10	401	1	60	1	12	1	1	60	704535.13	0	11357	1931.33	13288.33	8202
"70"	7	53	11	5	3	1	2	789.76507937	978.52102	10	501	3	160	6	5	1	1.03	164.8	806301.32	0	11357	1931.33	13288.33	7302
"71"	7	53	12	3	10	1	2	547.72313297	678.63040891	11	1001	1	50	0	0	1	1.02	51	34610.15	0	460	0	460	5908
"72"	7	53	12	3	10	1	2	547.72313297	678.63040891	10	501	1	111	3	12	1	0.99	109.89	894896.35	0	460	0	460	8303
"73"	7	53	12	3	11	1	2	547.72313297	678.63040891	10	501	1	999999.99	3	3	1	0.99	79.5	161853.35	1	1369.95	1380.13	2750.07	8303
"74"	7	53	12	3	11	1	2	547.72313297	678.63040891	11	1301	1	300	0	0	1	1.02	306	207660.91	0	1369.95	1380.13	2750.07	5908
"75"	7	53	12	3	13	1	2	547.72313297	678.63040891	10	501	3	106.8	3	12	1	0.99	105.73	861019.12	0	7138.8	1094.27	8233.07	8303
"76"	7	53	12	3	13	1	2	547.72313297	678.63040891	10	201	3	850	3	12	1	1	850	6922030.17	0	7138.8	1094.27	8233.07	7502
"77"	7	53	12	3	14	1	2	547.72313297	678.63040891	10	501	1	100.88	3	12	1	0.99	99.87	813297.83	0	2948.58	400.13	3348.71	8304
"78"	7	53	12	3	15	1	2	547.72313297	678.63040891	10	501	3	109	3	12	1	0.99	107.91	878772.09	0	2101.18	939.34	3040.52	8304
"79"	7	53	12	3	16	1	2	547.72313297	678.63040891	10	501	3	105.57	3	12	1	0.99	104.51	851083.97	0	9910.73	1895.49	11806.22	8303
"80"	7	53	12	3	17	1	2	547.72313297	678.63040891	10	501	1	980	4	12	1	0.96	940.8	7661465.86	0	7866.27	2145.12	10011.38	8303
"81"	7	53	12	3	18	1	2	547.72313297	678.63040891	10	501	1	522.1	4	12	1	0.96	501.22	4081717.6	0	7929.68	290.78	8220.46	8303
"82"	7	53	12	3	2	1	2	547.72313297	678.63040891	10	501	1	136	10	12	1	1.02	138.72	1129675.32	0	1724.03	1861.28	3585.31	8303
"83"	7	53	12	3	20	1	2	547.72313297	678.63040891	11	2801	7	999999.99	0	0	1	0.99	253	171693.49	1	1200.53	1465.11	2665.64	7501
"84"	7	53	12	3	20	1	2	547.72313297	678.63040891	11	901	7	999999.99	0	0	1	1.01	2625	1781404.82	1	1200.53	1465.11	2665.64	7501
"85"	7	53	12	3	20	1	2	547.72313297	678.63040891	11	1201	7	999999.99	0	0	1	1.01	212	143869.65	1	1200.53	1465.11	2665.64	7501
