"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ord_inform"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_item"	"val_recebido"	"val_deducao"	"cod_deduc"	"mes_ultimo_rendimento"	"num_meses_resgate"	"fator_anual"	"num_deflator"	"val_recebido_corrigido"	"val_deducao_corrigido"	"valor_anual_expandido2"	"valor_deduc_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"
"92"	15	53	7	7	2	1	4	2	708.30786026	877.59531031	55	3801	1000	0	53801	0	0	1	1.08	1080	0	947802.94	0	0	1801	783.32	2584.32
"93"	15	53	7	7	2	1	5	2	708.30786026	877.59531031	54	201	535	0	50201	4	12	1	1	535	0	5634161.89	0	0	1801	783.32	2584.32
"94"	15	53	7	7	3	1	1	2	708.30786026	877.59531031	55	4501	8000	0	54501	0	0	1	1.06	8480	0	7442008.23	0	0	18531.83	1236	19767.83
"95"	15	53	7	7	3	1	1	2	708.30786026	877.59531031	55	3701	5000	0	53701	0	0	1	1.07	5350	0	4695134.91	0	0	18531.83	1236	19767.83
"96"	15	53	7	7	3	1	1	2	708.30786026	877.59531031	55	3801	1500	0	53801	0	0	1	1.07	1605	0	1408540.47	0	0	18531.83	1236	19767.83
"97"	15	53	7	7	3	1	2	2	708.30786026	877.59531031	54	801	400	0	50801	5	12	1	1.04	416	0	4380955.79	0	0	18531.83	1236	19767.83
"98"	15	53	7	7	3	1	2	2	708.30786026	877.59531031	55	3801	1500	0	53801	0	0	1	1.07	1605	0	1408540.47	0	0	18531.83	1236	19767.83
"99"	15	53	7	7	3	1	2	2	708.30786026	877.59531031	55	3701	5000	0	53701	0	0	1	1.07	5350	0	4695134.91	0	0	18531.83	1236	19767.83
"100"	15	53	7	7	3	1	4	2	708.30786026	877.59531031	54	101	5000	700	50101	5	12	1	1	5000	700	52655718.62	7371800.61	0	18531.83	1236	19767.83
"101"	15	53	7	7	6	1	1	2	708.30786026	877.59531031	54	1501	462	0	51501	5	12	1	1.03	475.86	0	5011350.05	0	0	16671.08	739.54	17410.62
"102"	15	53	7	7	6	1	1	2	708.30786026	877.59531031	55	3801	9700	0	53801	0	0	1	1.07	10379	0	9108561.73	0	0	16671.08	739.54	17410.62
"103"	15	53	7	7	6	1	1	2	708.30786026	877.59531031	55	3701	4000	0	53701	0	0	1	1.07	4280	0	3756107.93	0	0	16671.08	739.54	17410.62
"104"	15	53	7	7	6	1	1	2	708.30786026	877.59531031	56	101	6000	0	50101	0	0	1	1.09	6540	0	5739473.33	0	0	16671.08	739.54	17410.62
"105"	15	53	7	7	6	1	1	2	708.30786026	877.59531031	57	101	6000	0	50101	0	0	1	1.09	6540	0	5739473.33	0	0	16671.08	739.54	17410.62
"106"	15	53	7	7	6	1	2	2	708.30786026	877.59531031	54	101	415	0	50101	1	6	1	1.05	435.75	0	2294472.94	0	0	16671.08	739.54	17410.62
"107"	15	53	7	7	6	1	2	2	708.30786026	877.59531031	55	5401	2930	0	55401	0	0	1	1	2930	0	2571354.26	0	0	16671.08	739.54	17410.62
"108"	15	53	7	7	6	1	2	2	708.30786026	877.59531031	55	201	2950	0	50201	0	0	1	1.07	3156.5	0	2770129.6	0	0	16671.08	739.54	17410.62
"109"	15	53	7	7	9	1	1	2	708.30786026	877.59531031	54	1501	150	0	51501	6	12	1	1.02	153	0	1611264.99	0	0	2964.52	11	2975.52
"110"	15	53	7	7	9	1	1	2	708.30786026	877.59531031	55	3701	1250	0	53701	0	0	1	1.06	1325	0	1162813.79	0	0	2964.52	11	2975.52
"111"	15	53	7	7	9	1	1	2	708.30786026	877.59531031	55	3801	390	0	53801	0	0	1	1.06	413.4	0	362797.9	0	0	2964.52	11	2975.52
"112"	15	53	7	7	9	1	2	2	708.30786026	877.59531031	54	1601	132	0	51601	6	12	1	1.02	134.64	0	1417913.19	0	0	2964.52	11	2975.52
"113"	15	53	7	7	9	1	2	2	708.30786026	877.59531031	54	1501	150	0	51501	6	12	1	1.02	153	0	1611264.99	0	0	2964.52	11	2975.52
"114"	15	53	7	7	9	1	2	2	708.30786026	877.59531031	55	3801	270	0	53801	0	0	1	1.06	286.2	0	251167.78	0	0	2964.52	11	2975.52
"115"	15	53	7	7	9	1	2	2	708.30786026	877.59531031	55	3701	800	0	53701	0	0	1	1.06	848	0	744200.82	0	0	2964.52	11	2975.52
"116"	15	53	8	5	10	1	1	2	806.17718447	998.85566158	55	3801	999999	0	53801	0	0	1	1.05	306	0	305649.83	0	1	797.25	31.33	828.58
"117"	15	53	8	5	10	1	1	2	806.17718447	998.85566158	55	3701	420	0	53701	0	0	1	1.05	441	0	440495.35	0	0	797.25	31.33	828.58
"118"	15	53	8	5	12	1	1	2	806.17718447	998.85566158	54	401	3100	1000	50401	10	12	1	1.05	3255	1050	39015302.14	12585581.34	0	3523.67	1530	5053.67
"119"	15	53	8	5	12	1	1	2	806.17718447	998.85566158	55	6501	3100	1100	56501	0	0	1	1.04	3224	1144	3220310.65	1142690.88	0	3523.67	1530	5053.67
"120"	15	53	8	5	13	1	1	2	806.17718447	998.85566158	55	3701	25000	0	53701	0	0	1	1.04	26000	0	25970247.2	0	3	11294.07	1052.59	12346.65
"121"	15	53	8	5	13	1	1	2	806.17718447	998.85566158	56	301	20000	0	50301	0	0	1	1.04	20800	0	20776197.76	0	3	11294.07	1052.59	12346.65
"122"	15	53	8	5	13	1	1	2	806.17718447	998.85566158	57	101	18000	0	50101	0	0	1	1.06	19080	0	19058166.02	0	3	11294.07	1052.59	12346.65
"123"	15	53	8	5	2	1	1	2	806.17718447	998.85566158	54	101	1311	0	50101	0	12	1	1	1311	0	15713997.27	0	0	2379.2	1285.2	3664.4
"124"	15	53	8	5	2	1	1	2	806.17718447	998.85566158	56	101	1000	0	50101	0	0	1	1.07	1070	0	1068775.56	0	0	2379.2	1285.2	3664.4
"125"	15	53	8	5	2	1	1	2	806.17718447	998.85566158	57	101	600	0	50101	0	0	1	1.07	642	0	641265.33	0	0	2379.2	1285.2	3664.4
