"tipo_reg"	"cod_uf"	"num_seq"	"num_dv"	"cod_domc"	"num_uc"	"num_ordem_inform"	"num_ext_renda"	"fator_expansao1"	"fator_expansao2"	"num_quadro"	"cod_tipo_ocup"	"cod_posi_ocupa"	"cod_renm_bruto"	"cod_item"	"val_renm_bruto"	"val_mes"	"num_meses_recebe"	"cod_deducao_val"	"cod_item_prev"	"val_deducao_prev"	"cod_item_ir"	"val_deducao_ir"	"cod_item_outra"	"val_deducao_outra"	"fator_anual"	"num_deflator"	"val_renm_bruto_corrigido"	"val_deducao_prev_corrigido"	"val_deducao_ir_corrigido"	"val_deducao_outra_corrigido"	"valor_anual_expandido2"	"valor_prev_anual_expandido2"	"valor_ir_anual_expandido2"	"valor_outras_anual_expandido2"	"cod_imput"	"renda_bruta_monetaria"	"renda_bruta_nao_monetaria"	"renda_total"	"num_horas_trabalhadas"	"cod_ocup_final"	"cod_ativ_final"	"cod_imput_ocup_ativ"
"33"	14	53	5	0	9	1	1	1	947.38889615	1173.81734545	53	1	1	1	101	480	12	12	1	50101	38	60101	0	70101	0	1	1.01	484.8	38.38	0	0	6828799.79	540613.32	0	0	0	1825.4	19.4	1844.8	48	5211	53030	0
"34"	14	53	5	0	9	1	2	1	947.38889615	1173.81734545	53	2	1	1	101	700	8	12	2	50101	0	60101	0	70101	0	1	1.05	735	0	0	0	10353068.99	0	0	0	0	1825.4	19.4	1844.8	12	5101	55030	0
"35"	14	53	5	0	9	1	2	1	947.38889615	1173.81734545	53	1	1	1	101	900	12	4	2	50101	0	60101	0	70101	0	1	1.01	909	0	0	0	4267999.87	0	0	0	0	1825.4	19.4	1844.8	12	5101	55030	0
"36"	14	53	6	9	11	1	1	1	974.80523604	1207.78626303	53	1	2	1	201	4500	4	12	1	50201	466	60201	373	70201	0	1	1.01	4545	470.66	376.73	0	65872662.79	6821480.19	5460111.83	0	0	5050	660.92	5710.92	40	2321	80011	0
"37"	14	53	6	9	12	1	1	1	974.80523604	1207.78626303	53	2	1	1	101	1500	1	8	2	50101	0	60101	0	70101	0	1	1	1500	0	0	0	14493435.16	0	0	0	0	3779	920.33	4699.33	40	3545	67020	0
"38"	14	53	6	9	12	1	1	1	974.80523604	1207.78626303	53	1	1	1	101	1600	4	3	1	50101	200	60101	200	70101	0	1	1.01	1616	202	202	0	5855347.8	731918.48	731918.48	0	0	3779	920.33	4699.33	40	3541	53030	0
"39"	14	53	6	9	12	1	2	1	974.80523604	1207.78626303	53	1	5	1	501	2500	4	12	2	50501	0	60501	0	70501	0	1	0.95	2375	0	0	0	34421908.5	0	0	0	0	3779	920.33	4699.33	60	1219	93020	0
"40"	14	53	6	9	13	1	2	1	974.80523604	1207.78626303	53	1	1	1	101	500	4	12	1	50101	32	60101	0	70101	0	1	1.01	505	32.32	0	0	7319184.75	468427.82	0	0	0	5976.48	990	6966.48	44	7823	64010	0
"41"	14	53	6	9	4	1	1	1	974.80523604	1207.78626303	53	1	2	2	201	3200	2	12	1	50201	180	60201	220	70201	0	1	1.02	3264	183.6	224.4	0	47306572.35	2660994.69	3252326.85	0	0	3792.67	22.19	3814.86	44	2391	80011	0
"42"	14	53	7	7	1	1	1	2	708.30786026	877.59531031	53	1	2	1	201	7000	4	12	1	50201	800	60201	900	70201	300	1	1.15	8050	920	1035	345	84775706.98	9688652.23	10899733.75	3633244.58	0	12066.23	0	12066.23	40	1123	75016	0
"43"	14	53	7	7	1	1	2	2	708.30786026	877.59531031	53	1	1	1	101	2500	4	2	1	50101	35	60101	514	70101	0	1	1.11	2775	38.85	570.54	0	4870653.97	68189.16	1001406.46	0	0	12066.23	0	12066.23	44	2144	20000	0
"44"	14	53	7	7	1	1	2	2	708.30786026	877.59531031	53	2	1	1	101	1969	3	9	1	50101	30	60101	362	70101	0	1	1.11	2185.59	33.3	401.82	0	17262571.81	263015.31	3173718.13	0	0	12066.23	0	12066.23	44	3517	66000	0
"45"	14	53	7	7	11	1	1	2	708.30786026	877.59531031	53	1	2	1	201	3200	7	12	1	50201	220	60201	143	70201	0	1	1.13	3616	248.6	161.59	0	38080615.7	2618042.33	1701727.51	0	0	3998.24	95.64	4093.87	40	4110	75011	0
"46"	14	53	7	7	2	1	4	2	708.30786026	877.59531031	53	1	1	1	101	900	4	12	1	50101	45	60101	0	70101	150	1	1.11	999	49.95	0	166.5	10520612.58	526030.63	0	1753435.43	0	1801	783.32	2584.32	40	4110	1401	0
"47"	14	53	7	7	3	1	1	2	708.30786026	877.59531031	53	1	1	2	101	5000	5	12	1	50101	300	60101	0	70101	900	1	1.1	5500	330	0	990	57921290.48	3475277.43	0	10425832.29	0	18531.83	1236	19767.83	37	3517	66000	0
"48"	14	53	7	7	3	1	2	2	708.30786026	877.59531031	53	1	2	1	201	5000	5	12	1	50201	700	60201	0	70201	0	1	1.15	5750	805	0	0	60554076.41	8477570.7	0	0	0	18531.83	1236	19767.83	40	2312	80011	0
"49"	14	53	7	7	6	1	1	2	708.30786026	877.59531031	53	1	2	1	201	9817	5	12	1	50201	0	60201	1752	70201	3348	1	1.15	11289.55	0	2014.8	3850.2	118891873.63	0	21218148.37	40547009.57	0	16671.08	739.54	17410.62	40	1123	75012	0
"50"	14	53	7	7	6	1	2	2	708.30786026	877.59531031	53	1	6	1	601	1500	3	12	2	50601	0	60601	0	70601	0	1	1.08	1620	0	0	0	17060452.83	0	0	0	0	16671.08	739.54	17410.62	14	3189	74021	0
"51"	14	53	7	7	6	1	3	2	708.30786026	877.59531031	53	1	5	1	501	1300	5	12	2	50501	0	60501	0	70501	0	1	1.03	1339	0	0	0	14101201.45	0	0	0	0	16671.08	739.54	17410.62	70	5199	93092	1
"52"	14	53	7	7	9	1	1	2	708.30786026	877.59531031	53	1	2	1	201	1250	6	12	1	50201	240	60201	63	70201	0	1	1.13	1412.5	271.2	71.19	0	14875240.51	2856046.18	749712.12	0	0	2964.52	11	2975.52	24	5173	75016	2
"53"	14	53	7	7	9	1	2	2	708.30786026	877.59531031	53	1	1	1	101	800	6	12	1	50101	64	60101	0	70101	0	1	1.09	872	69.76	0	0	9183157.33	734652.59	0	0	0	2964.52	11	2975.52	40	4131	91020	0
"54"	14	53	8	5	10	1	1	2	806.17718447	998.85566158	53	2	1	1	101	300	8	9	2	50101	0	60101	0	70101	0	1	1.05	315	0	0	0	2831755.8	0	0	0	0	797.25	31.33	828.58	44	5211	53041	0
"55"	14	53	8	5	10	1	1	2	806.17718447	998.85566158	53	1	1	1	101	420	9	10	1	50101	40	60101	0	70101	0	1	1.05	441	42	0	0	4404953.47	419519.38	0	0	0	797.25	31.33	828.58	36	5191	55030	0
"56"	14	53	8	5	10	1	2	2	806.17718447	998.85566158	53	2	1	1	101	350	8	3	2	50101	0	60101	0	70101	0	1	1.05	367.5	0	0	0	1101238.37	0	0	0	0	797.25	31.33	828.58	44	5211	53042	0
"57"	14	53	8	5	10	1	2	2	806.17718447	998.85566158	53	1	1	1	101	450	9	1	1	50101	36	60101	0	70101	0	1	1.05	472.5	37.8	0	0	471959.3	37756.74	0	0	0	797.25	31.33	828.58	48	5211	15043	0
"58"	14	53	8	5	13	1	1	2	806.17718447	998.85566158	53	2	2	1	201	16800	8	3	2	50201	0	60201	0	70201	0	1	1.09	18312	0	0	0	54873134.62	0	0	0	3	11294.07	1052.59	12346.65	20	2521	75012	0
"59"	14	53	8	5	13	1	1	2	806.17718447	998.85566158	53	1	2	2	201	2764	10	12	1	50201	300	60201	160	70201	0	1	1.05	2902.2	315	168	0	34786546.81	3775674.4	2013693.01	0	3	11294.07	1052.59	12346.65	30	2521	75012	0
"60"	14	53	8	5	13	1	2	2	806.17718447	998.85566158	53	1	6	1	601	55	10	12	2	50601	0	60601	0	70601	0	1	1.04	57.2	0	0	0	685614.53	0	0	0	0	11294.07	1052.59	12346.65	20	8493	15030	0
"61"	14	53	8	5	2	1	2	2	806.17718447	998.85566158	53	1	1	2	101	980	7	12	1	50101	65	60101	0	70101	35	1	1.09	1068.2	70.85	0	38.15	12803731.41	849227.08	0	457276.12	0	2379.2	1285.2	3664.4	40	4121	53063	0
"62"	14	53	8	5	3	1	1	2	806.17718447	998.85566158	53	1	2	1	201	3000	8	12	1	50201	999999	60201	999999	70201	0	1	1.09	3270	359.7	251.91	0	39195096.16	4311460.58	3019460.76	0	1	7887.54	2550	10437.54	30	3522	75012	0
"63"	14	53	8	5	3	1	2	2	806.17718447	998.85566158	53	1	2	1	201	3000	8	12	1	50201	999999	60201	0	70201	0	1	1.09	3270	359.7	0	0	39195096.16	4311460.58	0	0	1	7887.54	2550	10437.54	30	3522	75012	0
"64"	14	53	8	5	8	1	1	2	806.17718447	998.85566158	53	1	2	1	201	2500	11	12	1	50201	999999	60201	999999	70201	999999	1	1.17	2925	321.75	174.29	0	35059833.72	3856581.71	2089086.64	0	3	4278.75	886.88	5165.63	40	2321	80011	0
"65"	14	53	8	5	8	1	2	2	806.17718447	998.85566158	53	1	1	2	101	500	9	12	2	50101	0	60101	0	70101	0	1	1.05	525	0	0	0	6292790.67	0	0	0	0	4278.75	886.88	5165.63	60	5211	53042	0
"66"	14	53	8	5	8	1	3	2	806.17718447	998.85566158	53	1	2	2	201	700	9	7	2	50201	0	60201	0	70201	0	1	1.06	742	0	0	0	5188056.31	0	0	0	0	4278.75	886.88	5165.63	20	1320	75011	0
"67"	14	53	8	5	9	1	2	2	806.17718447	998.85566158	53	1	2	1	201	7000	10	12	1	50201	800	60201	1215	70201	700	1	1.05	7350	840	1275.75	735	88099069.35	10068465.07	15291481.32	8809906.94	0	8865.56	3.32	8868.88	30	4110	75015	0
"68"	14	53	9	3	11	1	1	2	1096.01433692	1357.96465926	53	1	2	2	201	8000	1	12	1	50201	680	60201	880	70201	0	1	1	8000	680	880	0	130364607.29	11080991.62	14340106.8	0	0	10798.1	883.84	11681.94	40	3516	75011	0
"69"	14	53	9	3	11	1	2	2	1096.01433692	1357.96465926	53	1	6	1	601	1500	1	12	2	50601	0	60601	0	70601	0	1	1	1500	0	0	0	24443363.87	0	0	0	0	10798.1	883.84	11681.94	50	5161	93020	0
"70"	14	53	9	3	3	1	1	2	1096.01433692	1357.96465926	53	2	2	1	201	9000	4	12	1	50201	900	60201	1800	70201	0	1	1.01	9090	909	1818	0	148126785.03	14812678.5	29625357.01	0	0	11100	634.21	11734.21	40	2232	85011	0
"71"	14	53	9	3	3	1	1	2	1096.01433692	1357.96465926	53	1	6	1	601	1000	4	12	2	50601	0	60601	0	70601	0	1	1	1000	0	0	0	16295575.91	0	0	0	0	11100	634.21	11734.21	16	2232	85012	0
"72"	14	53	9	3	9	1	2	2	1096.01433692	1357.96465926	53	1	6	1	601	2500	10	12	1	50601	0	60601	0	70601	200	1	1.04	2600	0	0	208	42368497.37	0	0	3389479.79	3	7143.4	2.6	7146	50	3541	53010	0
"73"	14	53	9	3	9	1	4	2	1096.01433692	1357.96465926	53	1	1	1	101	999999	1	12	2	50101	0	60101	0	70101	0	1	1	343.4	0	0	0	5595900.77	0	0	0	3	7143.4	2.6	7146	30	5161	93020	0
"74"	14	53	10	7	5	1	2	2	2697.14328269	3341.76765348	53	1	1	1	101	470	12	12	1	50101	36	60101	0	70101	0	1	1.01	474.7	36.36	0	0	19036045.26	1458080.06	0	0	0	1932.79	960.06	2892.85	44	5211	53061	0
"75"	14	53	10	7	9	1	1	2	2697.14328269	3341.76765348	53	1	5	1	501	4000	12	12	1	50501	450	60501	999999	70501	999999	1	1.07	4280	481.5	0	0	171633186.68	19308733.5	0	0	0	5673.78	955.89	6629.66	48	1219	19020	0
"76"	14	53	10	7	9	1	3	2	2697.14328269	3341.76765348	53	1	1	1	101	500	2	12	1	50101	35	60101	0	70101	0	1	1.11	555	38.85	0	0	22256172.57	1557932.08	0	0	0	5673.78	955.89	6629.66	36	4132	53070	0
"77"	14	53	10	7	9	1	4	2	2697.14328269	3341.76765348	53	1	1	1	101	700	2	7	2	50101	0	60101	0	70101	0	1	1.11	777	0	0	0	18175874.27	0	0	0	0	5673.78	955.89	6629.66	30	5199	65000	0
"78"	14	53	11	5	10	1	1	2	789.76507937	978.52102	53	1	3	1	301	465	2	12	2	50301	0	60301	0	70301	0	1	1	465	0	0	0	5460147.29	0	0	0	0	465	251.25	716.25	40	5121	95000	0
"79"	14	53	11	5	11	1	1	2	789.76507937	978.52102	53	1	3	2	301	700	2	12	1	50301	999999	60301	0	70301	0	1	1	700	56	0	0	8219576.57	657566.13	0	0	3	4072.94	1000	5072.94	60	5121	95000	0
"80"	14	53	11	5	11	1	2	2	789.76507937	978.52102	53	1	3	2	301	500	2	12	2	50301	0	60301	0	70301	0	1	1	500	0	0	0	5871126.12	0	0	0	3	4072.94	1000	5072.94	33	5121	95000	0
"81"	14	53	11	5	11	1	6	2	789.76507937	978.52102	53	1	1	1	101	765	2	11	1	50101	65	60101	0	70101	31	1	0.99	757.35	64.35	0	30.69	8151911.84	692646.1	0	330338.91	0	4072.94	1000	5072.94	44	4221	74040	0
"82"	14	53	11	5	12	1	1	2	789.76507937	978.52102	53	1	5	1	501	15000	3	12	1	50501	500	60501	999999	70501	0	1	0.97	14550	485	0	0	170849770.09	5694992.34	0	0	0	14550	1670	16220	84	6129	1118	1
"83"	14	53	11	5	12	1	3	2	789.76507937	978.52102	53	1	1	3	101	0	0	0	0	50101	0	60101	0	70101	0	1	1.05	0	0	0	0	0	0	0	0	0	14550	1670	16220	30	4110	1118	0
"84"	14	53	11	5	14	1	1	2	789.76507937	978.52102	53	1	5	1	501	999999	12	12	2	50501	0	60501	0	70501	0	1	1.07	4000	0	0	0	46969008.96	0	0	0	1	4000	549.76	4549.76	25	1219	92040	0
"85"	14	53	11	5	16	1	2	2	789.76507937	978.52102	53	1	2	2	201	1037	3	12	1	50201	601	60201	0	70201	0	1	1.02	1057.74	613.02	0	0	12420249.88	7198235.47	0	0	0	2760.26	408	3168.26	40	1320	75020	0
"86"	14	53	11	5	3	1	3	2	789.76507937	978.52102	53	1	1	2	101	800	2	12	1	50101	64	60101	0	70101	0	1	0.99	792	63.36	0	0	9299863.77	743989.1	0	0	0	11357	1931.33	13288.33	42	5173	74050	0
"87"	14	53	11	5	6	1	1	2	789.76507937	978.52102	53	1	3	2	301	700	2	12	1	50301	999999	60301	0	70301	0	1	1	700	56	0	0	8219576.57	657566.13	0	0	1	5494.12	250	5744.12	60	5121	95000	0
"88"	14	53	11	5	6	1	2	2	789.76507937	978.52102	53	1	3	2	301	500	2	12	2	50301	0	60301	0	70301	0	1	1	500	0	0	0	5871126.12	0	0	0	0	5494.12	250	5744.12	33	5121	95000	0
"89"	14	53	11	5	6	1	3	2	789.76507937	978.52102	53	1	1	2	101	600	2	12	1	50101	999999	60101	0	70101	0	1	0.99	594	47.52	0	0	6974897.83	557991.83	0	0	1	5494.12	250	5744.12	72	5211	53042	0
"90"	14	53	11	5	6	1	4	2	789.76507937	978.52102	53	1	1	2	101	550	2	12	1	50101	999999	60101	0	70101	0	1	0.99	544.5	43.56	0	0	6393656.34	511492.51	0	0	1	5494.12	250	5744.12	50	8118	53063	0
"91"	14	53	11	5	6	1	5	2	789.76507937	978.52102	53	1	3	2	301	400	2	12	2	50301	0	60301	0	70301	0	1	1	400	0	0	0	4696900.9	0	0	0	0	5494.12	250	5744.12	16	5121	95000	0
"92"	14	53	11	5	6	1	6	2	789.76507937	978.52102	53	1	1	2	101	800	2	12	1	50101	999999	60101	0	70101	0	1	0.99	792	63.36	0	0	9299863.77	743989.1	0	0	1	5494.12	250	5744.12	48	1320	55030	0
"93"	14	53	12	3	11	1	4	2	547.72313297	678.63040891	53	1	2	2	201	500	3	6	2	50201	0	60201	0	70201	0	1	1.02	510	0	0	0	2076609.05	0	0	0	0	1369.95	1380.13	2750.07	20	4110	75016	0
"94"	14	53	12	3	13	1	1	2	547.72313297	678.63040891	53	1	2	2	201	4800	3	12	1	50201	354	60201	0	70201	0	1	1.02	4896	361.08	0	0	39870893.78	2940478.42	0	0	0	7138.8	1094.27	8233.07	40	4132	65000	0
"95"	14	53	12	3	13	1	2	2	547.72313297	678.63040891	53	1	1	2	101	706	3	12	1	50101	8	60101	0	70101	0	1	1	706	8	0	0	5749356.82	65148.52	0	0	0	7138.8	1094.27	8233.07	44	3222	85012	0
"96"	14	53	12	3	14	1	1	2	547.72313297	678.63040891	53	2	6	1	601	400	1	12	2	50601	0	60601	0	70601	0	1	1	400	0	0	0	3257425.96	0	0	0	3	2948.58	400.13	3348.71	20	5241	53090	2
