referencia|municipio|A01setor|A01nficha|A01npessoas|D01|D02|D06|D03|D04|D05|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|D20|D21|D22|E01|E02|E03|E04|E05|E06|E07|E08|E09|E10|E11|E12|E13|E14|E15|PESO|PROJ_POP|pos_estrato
2016|43|15|1987|10|6585|7|99|2|4|29|1|1|1|1|1|8888|88|88|888|3|0|43|43|0|99|99|0|99|14|99|0|0|99|99|99|99|99|99999|88888|99|43|36,0517712654682|2451,52044605184|03206
2016|43|15|1987|10|6583|4|99|1|4|21|1|1|1|1|1|8888|88|88|888|3|0|43|43|0|99|99|0|99|13|1|0|1|4|1|1|4|1|88888|88888|2|43|25,061705110417|2506,1705110417|03105
2016|43|15|1987|10|6582|7|99|1|4|20|1|1|1|1|1|8888|88|88|888|3|0|43|43|0|99|99|0|99|14|99|0|0|99|99|99|99|99|99999|88888|99|43|25,061705110417|2506,1705110417|03105
2016|43|15|1987|10|6580|7|99|1|4|18|1|1|1|1|1|8888|88|88|888|3|0|43|43|0|99|99|0|99|11|3|0|0|99|99|99|99|99|99999|88888|99|43|27,3717971800718|2518,20534056661|03104
2016|43|15|1987|10|6586|2|99|2|4|40|2|1|1|1|88|8888|10|6|888|3|0|43|43|0|99|99|0|99|14|99|0|1|4|1|43|3|3|77777|77777|2|43|30,2614632950533|2118,30243065373|03209
2016|43|15|1987|10|6579|4|99|2|4|17|1|1|1|1|1|8888|1|88|888|3|0|43|43|0|99|99|0|99|11|8|0|0|99|99|99|99|99|99999|88888|99|43|23,5845849087621|2429,2122456025|03204
2016|43|15|1987|10|6587|1|99|1|4|43|2|1|1|1|4|8888|88|1|888|3|0|43|43|0|99|99|0|99|14|99|0|0|99|99|99|99|99|99999|88888|99|43|26,1471774839939|1934,89113381555|03109
2016|43|15|1987|10|6581|4|99|1|4|20|1|1|1|1|1|8888|88|88|888|3|0|30|43|0|99|99|0|99|14|99|0|1|4|1|1|4|1|88888|88888|2|43|25,061705110417|2506,1705110417|03105
2016|43|15|1987|10|6584|4|99|1|4|25|1|1|1|1|1|8888|88|88|888|3|0|43|43|0|99|99|0|99|14|99|0|1|4|1|1|4|1|88888|88888|2|43|32,6838837159026|2385,92351126089|03106
2016|43|15|1989|4|6594|2|99|2|4|39|4|1|1|1|1|1999|1|8|19|1|1|43|43|0|99|99|0|99|16|99|0|1|18|4|43|1|3|2000|0|2|43|31,3693893829799|2509,55115063839|03208
